os,blas,numThreads,timestamp,matrixName,rows,cols,nonZeros,loadTime,loadMem,decompTime,decompMem,decompPeakMem,solveTime,solveMem,solvePeakMem,relativeError
macOS,Accelerate,-1,2025-05-20 14:08:05.420814,cfd2,123440,123440,3087898,253.696791,50393896,1539.8715,609957832,415301840,36.573334,1986776,1986776,2.0832306161706945e-13
macOS,Accelerate,-1,2025-05-20 14:08:07.261661,G3_circuit,1585478,1585478,7660826,700.053583,135257048,9650.850458,1864191496,1284044936,128.650584,25380136,25380136,2.9947688292751553e-12
macOS,Accelerate,-1,2025-05-20 14:08:17.775978,cfd1,70656,70656,1828364,140.218792,29819080,789.436416,347248432,232176064,19.08175,1140360,1140360,7.604615296858056e-14
macOS,Accelerate,-1,2025-05-20 14:08:18.731051,StocF-1465,1465137,1465137,21005389,1659.919167,347807328,40595.408,11966096720,10594422296,11246.850625,23497736,23497736,3.7317427398457245e-10
macOS,Accelerate,-1,2025-05-20 14:09:12.591780,Flan_1565,1564794,1564794,117406044,8684.531375,1891015064,42943.539959,22316964832,15153677176,64028.00225,25083360,25083360,2.392318864217505e-11
macOS,Accelerate,-1,2025-05-20 14:11:13.409653,parabolic_fem,525825,525825,3674625,347.685208,63000608,718.363709,725188360,494144584,41.31225,8421880,8421880,1.0793611297027621e-12
macOS,Accelerate,-1,2025-05-20 14:11:14.530949,apache2,715176,715176,4817870,427.484083,82807336,6105.418583,1819149680,1475723432,131.765875,11464600,11464600,2.7603658645026345e-11
macOS,Accelerate,-1,2025-05-20 14:11:21.225773,shallow_water1,81920,81920,327680,28.627791,5898248,55.628958,71736592,48470736,4.104292,1315568,1315568,2.0145136912002105e-16
macOS,Accelerate,-1,2025-05-20 14:11:21.317828,ex15,6867,6867,98671,10.542542,1633680,6.588625,10066112,4412752,0.288917,110632,110632,5.698760605636763e-07
macOS,OpenBLAS,10,2025-05-20 14:11:26.600561,cfd2,123440,123440,3087898,240.526417,50393896,2463.917542,609957832,415301840,31.386625,1986776,1986776,2.799402043451025e-13
macOS,OpenBLAS,10,2025-05-20 14:11:29.345612,G3_circuit,1585478,1585478,7660826,687.623958,135257048,11066.288792,1864191496,1284044936,146.699917,25380136,25380136,3.939410064534664e-12
macOS,OpenBLAS,10,2025-05-20 14:11:41.281741,cfd1,70656,70656,1828364,135.874584,29819080,1230.98075,347248432,232176064,19.900166,1140360,1140360,4.039180134701402e-14
macOS,OpenBLAS,10,2025-05-20 14:11:42.676252,StocF-1465,1465137,1465137,21005389,1667.357083,347807328,52701.68075,11966096720,10594422296,16920.842167,23497736,23497736,3.7247636878962466e-10
macOS,OpenBLAS,10,2025-05-20 14:12:54.658935,Flan_1565,1564794,1564794,117406044,8913.596,1891015064,60931.83625,22316964832,15153677176,50949.248,25083360,25083360,2.038278829424896e-12
macOS,OpenBLAS,10,2025-05-20 14:15:00.396880,parabolic_fem,525825,525825,3674625,347.372709,63000608,1320.811417,725188360,494144584,45.38525,8421880,8421880,1.1864920067588706e-12
macOS,OpenBLAS,10,2025-05-20 14:15:02.123219,apache2,715176,715176,4817870,424.992875,82807336,8523.233583,1819149680,1475723432,127.290167,11464600,11464600,3.427082258758914e-11
macOS,OpenBLAS,10,2025-05-20 14:15:11.229599,shallow_water1,81920,81920,327680,29.318875,5898248,88.721625,71736592,48470736,4.960291,1315568,1315568,2.2524333924981066e-16
macOS,OpenBLAS,10,2025-05-20 14:15:11.355394,ex15,6867,6867,98671,8.088125,1633680,7.633,10066112,4412752,0.377625,110632,110632,6.219432767954059e-07
Windows,MKL,4,2025-05-21 11:23:10.2188739,ex15,6867,6867,98671,35.8782,1633680,22.7542,10066112,4412752,1.0564,110632,110632,6.931625170507899e-07
Windows,MKL,4,2025-05-21 11:23:15.3166789,G3_circuit,1585478,1585478,7660826,886.7436,135257048,17937.7836,1864191496,1284044936,294.3244,25380136,25380136,3.4002380019243898e-12
Windows,MKL,4,2025-05-21 11:23:39.5860881,shallow_water1,81920,81920,327680,76.0087,5898248,169.7047,71736592,48470736,17.1986,1315568,1315568,2.357676837556243e-16
Windows,MKL,4,2025-05-21 11:23:44.8959084,apache2,715176,715176,4817870,558.0236,82807336,11694.6408,1819149680,1475723432,199.484,11464600,11464600,3.255039186710707e-11
Windows,MKL,4,2025-05-21 11:24:02.4852842,cfd1,70656,70656,1828364,280.4447,29819080,1353.3048,347248432,232176064,31.6578,1140360,1140360,6.309387620752953e-14
Windows,MKL,4,2025-05-21 11:24:09.2188161,cfd2,123440,123440,3087898,400.448,50393896,2490.8296,609957832,415301840,58.5125,1986776,1986776,2.2123612648222464e-13
